Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalBathrooms,TotalSF,HouseAge,RemodAge,PricePerSF
1,60,3,65.0,8450,1,2,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,0,12,13,1,196.0,2,4,2,2,3,3,2,706,5,0,150,856,1,0,1,4,856,854,0,1710,1,0,2,1,3,1,2,8,6,0,5,1,2003.0,1,2,548,4,4,2,0,61,0,0,0,0,3,4,4,0,2,2008,8,4,208500,4,2566,5,5,81.25487139516757
2,20,3,80.0,9600,1,2,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,0,8,8,3,0.0,3,4,1,2,3,1,0,978,5,0,284,1262,1,0,1,4,1262,0,0,1262,0,1,2,0,3,1,3,6,6,1,4,1,1976.0,1,2,460,4,4,2,298,0,0,0,0,0,3,4,4,0,5,2007,8,4,181500,3,2524,31,31,71.90966719492869
3,60,3,68.0,11250,1,2,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,0,12,13,1,162.0,2,4,2,2,3,2,2,486,5,0,434,920,1,0,1,4,920,866,0,1786,1,0,2,1,3,1,2,6,6,1,4,1,2001.0,1,2,608,4,4,2,0,42,0,0,0,0,3,4,4,0,9,2008,8,4,223500,4,2706,7,6,82.59423503325942
4,70,3,60.0,9550,1,2,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,0,13,15,3,0.0,3,4,0,3,1,3,0,216,5,0,540,756,1,2,1,4,961,756,0,1717,1,0,1,0,3,1,2,7,6,1,2,5,1998.0,2,3,642,4,4,2,0,35,272,0,0,0,3,4,4,0,2,2006,8,0,140000,2,2473,91,36,56.61140315406389
5,60,3,84.0,14260,1,2,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,0,12,13,1,350.0,2,4,2,2,3,0,2,655,5,0,490,1145,1,0,1,4,1145,1053,0,2198,1,0,2,1,4,1,2,9,6,1,4,1,2000.0,1,3,836,4,4,2,192,84,0,0,0,0,3,4,4,0,12,2008,8,4,250000,4,3343,8,8,74.78312892611427
6,50,3,85.0,14115,1,2,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,0,12,13,3,0.0,3,4,5,2,3,3,2,732,5,0,64,796,1,0,1,4,796,566,0,1362,1,0,1,1,1,1,3,5,6,0,5,1,1993.0,2,2,480,4,4,2,40,30,0,320,0,0,3,2,2,700,10,2009,8,4,143000,3,2158,16,14,66.26506024096386
7,20,3,75.0,10084,1,2,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,0,12,13,2,186.0,2,4,2,0,3,0,2,1369,5,0,317,1686,1,0,1,4,1694,0,0,1694,1,0,2,0,3,1,2,7,6,1,2,1,2004.0,1,2,636,4,4,2,255,57,0,0,0,0,3,4,4,0,8,2007,8,4,307000,3,3380,3,2,90.82840236686391
8,60,3,69.0,10382,1,2,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,0,6,6,2,240.0,3,4,1,2,3,2,0,859,1,32,216,1107,1,0,1,4,1107,983,0,2090,1,0,2,1,3,1,3,7,6,2,4,1,1973.0,1,2,484,4,4,2,235,204,228,0,0,0,3,4,2,350,11,2009,8,4,200000,4,3197,36,36,62.55864873318736
9,50,4,51.0,6120,1,2,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,0,3,15,3,0.0,3,4,0,3,3,3,5,0,5,0,952,952,1,2,1,1,1022,752,0,1774,0,0,2,0,2,2,3,8,2,2,4,5,1931.0,2,2,468,1,4,2,90,0,205,0,0,0,3,4,4,0,4,2008,8,0,129900,2,2726,77,58,47.65223771093177
10,190,3,50.0,7420,1,2,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,0,8,8,3,0.0,3,4,0,3,3,3,2,851,5,0,140,991,1,0,1,4,1077,0,0,1077,1,0,1,0,2,2,3,5,6,2,4,1,1939.0,1,1,205,2,4,2,0,4,0,0,0,0,3,4,4,0,1,2008,8,4,118000,2,2068,69,58,57.05996131528046
11,20,3,70.0,11200,1,2,3,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,0,6,6,3,0.0,3,4,1,3,3,3,4,906,5,0,134,1040,1,0,1,4,1040,0,0,1040,1,0,1,0,3,1,3,5,6,0,5,5,1965.0,2,1,384,4,4,2,0,0,0,0,0,0,3,4,4,0,2,2008,8,4,129500,2,2080,43,43,62.25961538461539
12,60,3,85.0,11924,1,2,0,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,0,14,15,2,286.0,0,4,2,0,3,3,2,998,5,0,177,1175,1,0,1,4,1182,1142,0,2324,1,0,3,0,4,1,0,11,6,2,2,3,2005.0,0,3,736,4,4,2,147,21,0,0,0,0,3,4,4,0,7,2006,6,5,345000,4,3499,1,0,98.59959988568163
13,20,3,69.0,12968,1,2,1,3,0,4,0,19,2,2,0,2,5,6,1962,1962,3,0,6,10,3,0.0,3,4,1,3,3,3,0,737,5,0,175,912,1,4,1,4,912,0,0,912,1,0,1,0,2,1,3,4,6,0,5,5,1962.0,2,1,352,4,4,2,140,0,0,0,176,0,3,4,4,0,9,2008,8,4,144000,2,1824,46,46,78.94736842105263
14,20,3,91.0,10652,1,2,0,3,0,4,0,5,2,2,0,2,7,5,2006,2007,1,0,12,13,2,306.0,2,4,2,2,3,0,5,0,5,0,1494,1494,1,0,1,4,1494,0,0,1494,0,0,2,0,3,1,2,7,6,1,2,1,2006.0,1,3,840,4,4,2,160,33,0,0,0,0,3,4,4,0,8,2007,6,5,279500,2,2988,1,0,93.54082998661312
15,20,3,69.0,10920,1,2,0,3,0,0,0,12,2,2,0,2,6,5,1960,1960,3,0,8,8,1,212.0,3,4,1,3,3,3,1,733,5,0,520,1253,1,4,1,4,1253,0,0,1253,1,0,1,1,2,1,3,5,6,1,1,1,1960.0,1,1,352,4,4,2,0,213,176,0,0,0,3,1,4,0,5,2008,8,4,157000,3,2506,48,48,62.64964086193137
16,45,4,51.0,6120,1,2,3,3,0,0,0,3,2,2,0,1,7,8,1929,2001,1,0,13,14,3,0.0,3,4,0,3,3,3,5,0,5,0,832,832,1,0,1,0,854,0,0,854,0,0,1,0,2,1,3,5,6,0,5,5,1991.0,2,2,576,4,4,2,48,112,0,0,0,0,3,0,4,0,7,2007,8,4,132000,1,1686,78,6,78.29181494661921
17,20,3,69.0,11241,1,2,0,3,0,1,0,12,2,2,0,2,6,7,1970,1970,1,0,13,14,1,180.0,3,4,1,3,3,3,0,578,5,0,426,1004,1,0,1,4,1004,0,0,1004,1,0,1,0,2,1,3,5,6,1,4,1,1970.0,0,2,480,4,4,2,0,0,0,0,0,0,3,4,2,700,3,2010,8,4,149000,2,2008,40,40,74.20318725099601
18,90,3,72.0,10791,1,2,3,3,0,4,0,19,2,2,2,2,4,5,1967,1967,1,0,8,8,3,0.0,3,4,3,3,3,3,5,0,5,0,0,0,1,4,1,4,1296,0,0,1296,0,0,2,0,2,2,3,6,6,0,5,4,1967.0,2,2,516,4,4,2,0,0,0,0,0,0,3,4,2,500,10,2006,8,4,90000,2,1296,39,39,69.44444444444444
19,20,3,66.0,13695,1,2,3,3,0,4,0,20,5,2,0,2,5,5,2004,2004,1,0,12,13,3,0.0,3,4,2,3,3,3,2,646,5,0,468,1114,1,0,1,4,1114,0,0,1114,1,0,1,1,3,1,2,6,6,0,5,5,2004.0,2,2,576,4,4,2,0,102,0,0,0,0,3,4,4,0,6,2008,8,4,159000,3,2228,4,4,71.36445242369838
20,20,3,70.0,7560,1,2,3,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,0,3,10,3,0.0,3,4,1,3,3,3,3,504,5,0,525,1029,1,4,1,4,1339,0,0,1339,0,0,1,0,3,1,3,6,2,0,5,1,1958.0,2,1,294,4,4,2,0,0,0,0,0,0,3,2,4,0,5,2009,0,0,139000,1,2368,51,44,58.69932432432432
21,60,3,101.0,14215,1,2,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,0,12,13,1,380.0,2,4,2,0,3,0,5,0,5,0,1158,1158,1,0,1,4,1158,1218,0,2376,0,0,3,1,4,1,2,9,6,1,2,3,2005.0,1,3,853,4,4,2,240,154,0,0,0,0,3,4,4,0,11,2006,6,5,325300,4,3534,1,0,92.0486700622524
22,45,4,57.0,7449,1,0,3,0,0,4,0,9,2,2,0,1,7,7,1930,1950,1,0,13,14,3,0.0,3,4,2,3,3,3,5,0,5,0,637,637,1,0,1,1,1108,0,0,1108,0,0,1,0,3,1,2,6,6,1,2,1,1930.0,2,1,280,4,4,0,0,0,205,0,0,0,3,0,4,0,6,2007,8,4,139400,1,1745,77,57,79.88538681948424
23,20,3,75.0,9742,1,2,3,3,0,4,0,5,2,2,0,2,8,5,2002,2002,3,0,12,13,1,281.0,2,4,2,2,3,3,5,0,5,0,1777,1777,1,0,1,4,1795,0,0,1795,0,0,2,0,3,1,2,7,6,1,2,1,2002.0,1,2,534,4,4,2,171,159,0,0,0,0,3,4,4,0,9,2008,8,4,230000,2,3572,6,6,64.38969764837626
24,120,4,44.0,4224,1,2,3,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,0,5,5,3,0.0,3,4,2,2,3,3,2,840,5,0,200,1040,1,4,1,4,1060,0,0,1060,1,0,1,0,3,1,3,6,6,1,4,1,1976.0,2,2,572,4,4,2,100,110,0,0,0,0,3,4,4,0,6,2007,8,4,129900,2,2100,31,31,61.857142857142854
25,20,3,69.0,8246,1,2,0,3,0,4,0,19,2,2,0,2,5,8,1968,2001,1,0,9,10,3,0.0,3,2,1,3,3,2,4,188,0,668,204,1060,1,0,1,4,1060,0,0,1060,1,0,1,0,3,1,2,6,6,1,4,1,1968.0,2,1,270,4,4,2,406,90,0,0,0,0,3,2,4,0,5,2010,8,4,154000,2,2120,42,9,72.64150943396227
26,20,3,110.0,14230,1,2,3,3,0,0,0,16,2,2,0,2,8,5,2007,2007,1,0,12,13,2,640.0,2,4,2,2,3,3,5,0,5,0,1566,1566,1,0,1,4,1600,0,0,1600,0,0,2,0,3,1,2,7,6,1,2,1,2007.0,1,3,890,4,4,2,0,56,0,0,0,0,3,4,4,0,7,2009,8,4,256300,2,3166,2,2,80.95388502842704
27,20,3,60.0,7200,1,2,3,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,0,13,14,3,0.0,3,4,1,3,3,2,1,234,4,486,180,900,1,4,1,4,900,0,0,900,0,1,1,0,3,1,2,5,6,0,5,5,2005.0,2,2,576,4,4,2,222,32,0,0,0,0,3,4,4,0,5,2010,8,4,134800,2,1800,59,10,74.88888888888889
28,20,3,98.0,11478,1,2,3,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,0,12,13,2,200.0,2,4,2,0,3,3,2,1218,5,0,486,1704,1,0,1,4,1704,0,0,1704,1,0,2,0,3,1,2,7,6,1,2,1,2008.0,1,3,772,4,4,2,0,50,0,0,0,0,3,4,4,0,5,2010,8,4,306000,3,3408,3,2,89.78873239436619
29,20,3,47.0,16321,1,2,0,3,0,1,0,12,2,2,0,2,5,6,1957,1997,1,0,8,8,3,0.0,3,4,1,3,3,1,1,1277,5,0,207,1484,1,4,1,4,1600,0,0,1600,1,0,1,0,2,1,3,6,6,2,2,1,1957.0,1,1,319,4,4,2,288,258,0,0,0,0,3,4,4,0,12,2006,8,4,207500,2,3084,49,9,67.28274967574579
30,30,4,60.0,6324,1,2,0,3,0,4,0,3,1,7,0,2,4,6,1927,1950,1,0,8,8,3,0.0,3,4,0,3,3,3,5,0,5,0,520,520,1,1,0,4,520,0,0,520,0,0,1,0,1,1,1,4,6,0,5,5,1920.0,2,1,240,1,4,2,49,0,87,0,0,0,3,4,4,0,5,2008,8,4,68500,1,1040,81,58,65.86538461538461
31,70,0,50.0,8500,1,1,3,3,0,4,0,9,1,2,0,5,4,4,1920,1950,2,0,3,3,3,0.0,3,1,0,3,3,3,5,0,5,0,649,649,1,4,0,4,649,668,0,1317,0,0,1,0,3,1,3,6,6,0,5,5,1920.0,2,1,250,4,1,0,0,54,172,0,0,0,3,2,4,0,7,2008,8,4,40000,1,1966,88,58,20.345879959308242
32,20,3,69.0,8544,1,2,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,0,6,6,3,0.0,3,4,1,3,3,3,5,0,5,0,1228,1228,1,2,1,4,1228,0,0,1228,0,0,1,1,3,1,2,6,6,0,5,1,1966.0,2,1,271,4,4,2,0,65,0,0,0,0,3,2,4,0,6,2008,8,4,149350,2,2456,42,2,60.81026058631922
33,20,3,85.0,11049,1,2,3,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,0,12,13,3,0.0,2,4,2,0,3,0,5,0,5,0,1234,1234,1,0,1,4,1234,0,0,1234,0,0,2,0,3,1,2,7,6,0,5,1,2007.0,1,2,484,4,4,2,0,30,0,0,0,0,3,4,4,0,1,2008,8,4,179900,2,2468,1,1,72.89303079416531
34,20,3,70.0,10552,1,2,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,0,3,3,3,0.0,3,4,1,3,3,3,4,1018,5,0,380,1398,1,2,1,4,1700,0,0,1700,0,1,1,1,4,1,2,6,6,1,2,1,1959.0,1,2,447,4,4,2,0,38,0,0,0,0,3,4,4,0,4,2010,8,4,165500,3,3098,51,51,53.42156229825694
35,120,3,60.0,7313,1,2,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,0,8,8,1,246.0,0,4,2,0,3,3,2,1153,5,0,408,1561,1,0,1,4,1561,0,0,1561,1,0,2,0,2,1,0,6,6,1,2,1,2005.0,0,2,556,4,4,2,203,47,0,0,0,0,3,4,4,0,8,2007,8,4,277500,3,3122,2,2,88.88532991672005
36,60,3,108.0,13418,1,2,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,0,12,13,2,132.0,2,4,2,0,3,0,5,0,5,0,1117,1117,1,0,1,4,1132,1320,0,2452,0,0,3,1,4,1,2,9,6,1,2,3,2004.0,0,3,691,4,4,2,113,32,0,0,0,0,3,4,4,0,9,2006,8,4,309000,4,3569,2,1,86.57887363407117
37,20,3,112.0,10859,1,2,3,3,0,0,0,5,2,2,0,2,5,5,1994,1995,1,0,12,13,3,0.0,3,4,2,2,3,3,5,0,5,0,1097,1097,1,0,1,4,1097,0,0,1097,0,0,1,1,3,1,3,6,6,0,5,1,1995.0,2,2,672,4,4,2,392,64,0,0,0,0,3,4,4,0,6,2009,8,4,145000,2,2194,15,14,66.08933454876937
38,20,3,74.0,8532,1,2,3,3,0,4,0,12,2,2,0,2,5,6,1954,1990,3,0,13,14,1,650.0,3,4,1,3,3,3,4,1213,5,0,84,1297,1,2,1,4,1297,0,0,1297,0,1,1,0,3,1,3,5,6,1,4,1,1954.0,0,2,498,4,4,2,0,0,0,0,0,0,3,4,4,0,10,2009,8,4,153000,2,2594,55,19,58.982266769468005
39,20,3,68.0,7922,1,2,3,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,0,12,13,3,0.0,3,2,1,3,3,3,2,731,5,0,326,1057,1,4,1,4,1057,0,0,1057,1,0,1,0,3,1,2,5,6,0,5,5,1953.0,2,1,246,4,4,2,0,52,0,0,0,0,3,4,4,0,1,2010,8,0,109000,2,2114,57,3,51.561021759697255
40,90,3,65.0,6040,1,2,3,3,0,4,0,7,2,2,2,2,4,5,1955,1955,1,0,0,10,3,0.0,3,4,2,3,3,3,5,0,5,0,0,0,1,4,0,2,1152,0,0,1152,0,0,2,0,2,2,1,6,6,0,5,1,1980.0,2,0,0,4,4,0,0,0,0,0,0,0,3,4,4,0,6,2008,8,1,82000,2,1152,53,53,71.18055555555556
41,20,3,84.0,8658,1,2,3,3,0,4,0,12,2,2,0,2,6,5,1965,1965,1,0,13,14,1,101.0,3,4,1,3,3,3,4,643,5,0,445,1088,1,0,1,4,1324,0,0,1324,0,0,2,0,3,1,3,6,6,1,4,1,1965.0,1,2,440,4,4,2,0,138,0,0,0,0,3,1,4,0,12,2006,8,0,160000,2,2412,41,41,66.33499170812604
42,20,3,115.0,16905,1,2,3,3,0,4,0,23,2,2,0,2,5,6,1959,1959,1,0,12,13,3,0.0,3,2,1,3,3,1,1,967,5,0,383,1350,1,2,1,4,1328,0,0,1328,0,1,1,1,2,1,3,5,6,2,2,1,1959.0,1,1,308,4,4,1,0,104,0,0,0,0,3,4,4,0,7,2007,8,4,170000,3,2678,48,48,63.48020911127707
43,85,3,69.0,9180,1,2,0,3,0,1,0,20,2,2,0,6,5,7,1983,1983,1,0,6,6,3,0.0,3,4,1,2,3,0,0,747,3,93,0,840,1,2,1,4,884,0,0,884,1,0,1,0,2,1,2,5,6,0,5,1,1983.0,1,2,504,4,2,2,240,0,0,0,0,0,3,2,4,0,12,2007,8,4,144000,2,1724,24,24,83.52668213457076
44,20,3,69.0,9200,1,2,0,3,0,1,0,5,2,2,0,2,5,6,1975,1980,3,0,12,13,3,0.0,3,4,1,2,3,0,3,280,1,491,167,938,1,4,1,4,938,0,0,938,1,0,1,0,3,1,3,5,6,0,5,5,1977.0,2,1,308,4,4,2,145,0,0,0,0,0,3,2,4,0,7,2008,8,4,130250,2,1876,33,28,69.42963752665246
45,20,3,70.0,7945,1,2,3,3,0,4,0,12,2,2,0,2,5,6,1959,1959,1,0,3,14,3,0.0,3,4,1,3,3,3,0,179,1,506,465,1150,1,0,1,0,1150,0,0,1150,1,0,1,0,3,1,3,6,6,0,5,1,1959.0,1,1,300,4,4,2,0,0,0,0,0,0,3,4,4,0,5,2006,8,4,141000,2,2300,47,47,61.30434782608695
