LotFrontage,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtFinSF1,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,TotalBathrooms,TotalSF,HouseAge,RemodAge,PricePerSF,SalePrice
65.0,7,2003,2003,196.0,2,2,2,706,856,0,856,854,1710,2,2,8,0,5,2003.0,1,2,548,0,61,4,2566,5,5,81.25487139516757,208500
80.0,6,1976,1976,0.0,3,1,2,978,1262,0,1262,0,1262,2,3,6,1,4,1976.0,1,2,460,298,0,3,2524,31,31,71.90966719492869,181500
68.0,7,2001,2002,162.0,2,2,2,486,920,0,920,866,1786,2,2,6,1,4,2001.0,1,2,608,0,42,4,2706,7,6,82.59423503325942,223500
60.0,7,1915,1970,0.0,3,0,3,216,756,2,961,756,1717,1,2,7,1,2,1998.0,2,3,642,0,35,2,2473,91,36,56.61140315406389,140000
84.0,8,2000,2000,350.0,2,2,2,655,1145,0,1145,1053,2198,2,2,9,1,4,2000.0,1,3,836,192,84,4,3343,8,8,74.78312892611427,250000
85.0,5,1993,1995,0.0,3,5,2,732,796,0,796,566,1362,1,3,5,0,5,1993.0,2,2,480,40,30,3,2158,16,14,66.26506024096386,143000
75.0,8,2004,2005,186.0,2,2,0,1369,1686,0,1694,0,1694,2,2,7,1,2,2004.0,1,2,636,255,57,3,3380,3,2,90.82840236686391,307000
69.0,7,1973,1973,240.0,3,1,2,859,1107,0,1107,983,2090,2,3,7,2,4,1973.0,1,2,484,235,204,4,3197,36,36,62.55864873318736,200000
51.0,7,1931,1950,0.0,3,0,3,0,952,2,1022,752,1774,2,3,8,2,4,1931.0,2,2,468,90,0,2,2726,77,58,47.65223771093177,129900
50.0,5,1939,1950,0.0,3,0,3,851,991,0,1077,0,1077,1,3,5,2,4,1939.0,1,1,205,0,4,2,2068,69,58,57.05996131528046,118000
70.0,5,1965,1965,0.0,3,1,3,906,1040,0,1040,0,1040,1,3,5,0,5,1965.0,2,1,384,0,0,2,2080,43,43,62.25961538461539,129500
85.0,9,2005,2006,286.0,0,2,0,998,1175,0,1182,1142,2324,3,0,11,2,2,2005.0,0,3,736,147,21,4,3499,1,0,98.59959988568163,345000
69.0,5,1962,1962,0.0,3,1,3,737,912,4,912,0,912,1,3,4,0,5,1962.0,2,1,352,140,0,2,1824,46,46,78.94736842105263,144000
91.0,7,2006,2007,306.0,2,2,2,0,1494,0,1494,0,1494,2,2,7,1,2,2006.0,1,3,840,160,33,2,2988,1,0,93.54082998661312,279500
69.0,6,1960,1960,212.0,3,1,3,733,1253,4,1253,0,1253,1,3,5,1,1,1960.0,1,1,352,0,213,3,2506,48,48,62.64964086193137,157000
51.0,7,1929,2001,0.0,3,0,3,0,832,0,854,0,854,1,3,5,0,5,1991.0,2,2,576,48,112,1,1686,78,6,78.29181494661921,132000
69.0,6,1970,1970,180.0,3,1,3,578,1004,0,1004,0,1004,1,3,5,1,4,1970.0,0,2,480,0,0,2,2008,40,40,74.20318725099601,149000
72.0,4,1967,1967,0.0,3,3,3,0,0,4,1296,0,1296,2,3,6,0,5,1967.0,2,2,516,0,0,2,1296,39,39,69.44444444444444,90000
66.0,5,2004,2004,0.0,3,2,3,646,1114,0,1114,0,1114,1,2,6,0,5,2004.0,2,2,576,0,102,3,2228,4,4,71.36445242369838,159000
70.0,5,1958,1965,0.0,3,1,3,504,1029,4,1339,0,1339,1,3,6,0,5,1958.0,2,1,294,0,0,1,2368,51,44,58.69932432432432,139000
101.0,8,2005,2006,380.0,2,2,0,0,1158,0,1158,1218,2376,3,2,9,1,2,2005.0,1,3,853,240,154,4,3534,1,0,92.0486700622524,325300
57.0,7,1930,1950,0.0,3,2,3,0,637,0,1108,0,1108,1,2,6,1,2,1930.0,2,1,280,0,0,1,1745,77,57,79.88538681948424,139400
75.0,8,2002,2002,281.0,2,2,2,0,1777,0,1795,0,1795,2,2,7,1,2,2002.0,1,2,534,171,159,2,3572,6,6,64.38969764837626,230000
44.0,5,1976,1976,0.0,3,2,2,840,1040,4,1060,0,1060,1,3,6,1,4,1976.0,2,2,572,100,110,2,2100,31,31,61.857142857142854,129900
69.0,5,1968,2001,0.0,3,1,3,188,1060,0,1060,0,1060,1,2,6,1,4,1968.0,2,1,270,406,90,2,2120,42,9,72.64150943396227,154000
110.0,8,2007,2007,640.0,2,2,2,0,1566,0,1600,0,1600,2,2,7,1,2,2007.0,1,3,890,0,56,2,3166,2,2,80.95388502842704,256300
60.0,5,1951,2000,0.0,3,1,3,234,900,4,900,0,900,1,2,5,0,5,2005.0,2,2,576,222,32,2,1800,59,10,74.88888888888889,134800
98.0,8,2007,2008,200.0,2,2,0,1218,1704,0,1704,0,1704,2,2,7,1,2,2008.0,1,3,772,0,50,3,3408,3,2,89.78873239436619,306000
47.0,5,1957,1997,0.0,3,1,3,1277,1484,4,1600,0,1600,1,3,6,2,2,1957.0,1,1,319,288,258,2,3084,49,9,67.28274967574579,207500
60.0,4,1927,1950,0.0,3,0,3,0,520,1,520,0,520,1,1,4,0,5,1920.0,2,1,240,49,0,1,1040,81,58,65.86538461538461,68500
50.0,4,1920,1950,0.0,3,0,3,0,649,4,649,668,1317,1,3,6,0,5,1920.0,2,1,250,0,54,1,1966,88,58,20.345879959308242,40000
